material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_soft,settings_all,0.0,20,0.8623179196922712,0.5505848289515483,0.5899612178217936
identity_soft,settings_all,0.0,30,0.9065045228522797,0.6630947035130228,0.6197227898674886
identity_soft,settings_all,0.0,50,0.7928737743486434,0.6142576252037566,0.49209852231065737
identity_soft,settings_all,0.0,80,0.7798477786978828,0.4981858255305817,0.45419224276433523
identity_soft,settings_all,0.25,8,0.7651012290514427,0.7378333502548455,0.6281538009618651
identity_soft,settings_all,0.25,12,0.7714165496890227,0.7001274726502245,0.7597560252840027
identity_soft,settings_all,0.25,20,0.7591570732024788,0.6841557285955803,0.6729741478230736
identity_soft,settings_all,0.25,30,0.7299107027872062,0.6928310913144011,0.8389659965386485
identity_soft,settings_all,0.25,50,0.6599603497350778,0.6747945883042595,0.562826158300527
identity_soft,settings_all,0.25,80,0.9163336098263923,0.5655521116734116,0.5679247223379451
identity_soft,settings_all,0.5,8,0.4928232579835624,0.5693802014472155,0.5836746118019308
identity_soft,settings_all,0.5,12,0.7857163403968731,0.7769206881625781,0.7031417551926243
identity_soft,settings_all,0.5,20,0.7041643209103827,0.8653481694828078,0.6555197656321212
identity_soft,settings_all,0.5,30,0.7250277174188878,0.6921964926696377,0.8336234399169344
identity_soft,settings_all,0.5,50,0.5386894904521956,0.5898404599340835,0.5937777639327185
identity_soft,settings_all,0.5,80,0.7304864770790376,0.7177857023823611,0.7323043267019295
identity_soft,settings_all,0.75,8,0.4170869848401801,0.7126978170797107,0.5304899205202008
identity_soft,settings_all,0.75,12,0.35837075697794285,0.6297888489892277,0.4224198491188443
identity_soft,settings_all,0.75,20,0.356373934090047,0.4300726736539696,0.40106706458178
identity_soft,settings_all,0.75,30,0.5311455138039592,0.6852802444083151,0.584235489115582
identity_soft,settings_all,0.75,50,0.6512550222579333,0.5555838103996698,0.584754787738322
identity_soft,settings_all,0.75,80,0.7198206295077505,0.7303036959763952,0.7045138970209752
identity_soft,settings_all,1.0,8,0.4029529608884506,0.4240043609844342,0.42099619756419515
identity_soft,settings_all,1.0,12,0.254066730034447,0.202483799496021,0.3287212845855612
identity_soft,settings_all,1.0,20,0.39138859117843094,0.35291500767185224,0.46999148932276247
identity_soft,settings_all,1.0,30,0.4394924000852996,0.4065230252176012,0.4163107997344429
identity_soft,settings_all,1.0,50,0.5180742041085082,0.5318428299266487,0.43967374941630627
identity_soft,settings_all,1.0,80,0.7253568474381663,0.6901714578148063,0.6964570587894899
identity_soft,settings_numeric,0.0,8,0.8026775275517293,0.8864552008366254,0.7538116782493443
identity_soft,settings_numeric,0.0,12,0.5514141909513841,0.7040323395552276,0.3903245503943013
identity_soft,settings_numeric,0.0,20,0.8623179196922712,0.5505848289515483,0.5899612178217936
identity_soft,settings_numeric,0.0,30,0.9065045228522797,0.6630947035130228,0.6197227898674886
identity_soft,settings_numeric,0.0,50,0.7928737743486434,0.6142576252037566,0.49209852231065737
