sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l210-s4-zhang-2014,article:l210,0.75,0,10,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""extrusion heating zone#0:barrel temperature"", ""extrusion heating zone#0:equipment type"", ""extrusion heating zone#0:extruder"", ""extrusion heating zone#0:rotation speed"", ""mixing#0:mixing method"", ""mixing#0:rotational frequency""]"
l210-s4-zhang-2014,article:l210,0.75,1,10,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""extrusion heating zone#0:barrel temperature"", ""extrusion heating zone#0:equipment type"", ""extrusion heating zone#0:rotation speed"", ""mixing#0:rotational frequency"", ""mixing#0:time""]"
l210-s4-zhang-2014,article:l210,0.75,2,10,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""extrusion heating zone#0:barrel temperature"", ""extrusion heating zone#0:equipment type"", ""extrusion heating zone#0:extruder"", ""mixing#0:mixing method"", ""mixing#0:rotational frequency""]"
l380-s1-zhao-2017,article:l380,0.25,0,4,"[""mixing#0:mixing method""]"
l380-s1-zhao-2017,article:l380,0.25,1,4,"[""mixing#0:time""]"
l380-s1-zhao-2017,article:l380,0.25,2,4,"[""mixing#0:time""]"
l380-s1-zhao-2017,article:l380,0.5,0,4,"[""mixing#0:mixing method"", ""mixing#0:temperature""]"
l380-s1-zhao-2017,article:l380,0.5,1,4,"[""mixing#0:mixer"", ""mixing#0:mixing method""]"
l380-s1-zhao-2017,article:l380,0.5,2,4,"[""mixing#0:mixing method"", ""mixing#0:time""]"
l380-s1-zhao-2017,article:l380,0.75,0,4,"[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]"
l380-s1-zhao-2017,article:l380,0.75,1,4,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]"
l380-s1-zhao-2017,article:l380,0.75,2,4,"[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:temperature""]"
l386-s54-jimenez-2019,article:l386,0.25,0,16,"[""drying evaporation#0:time"", ""mixing#0:time"", ""molding#0:ambient condition"", ""molding#1:temperature""]"
l386-s54-jimenez-2019,article:l386,0.25,1,16,"[""additive#2:additive"", ""drying evaporation#0:ambient condition"", ""heating#0:time"", ""molding#0:ambient condition""]"
